index,cluster,status,ttft_ms,inject_ms,frag_bytes
0,1,MISS,5267.073,0.000,1845620
1,2,MISS,5379.109,0.000,1870220
2,1,MISS,4925.687,0.000,1710320
3,3,MISS,4819.218,0.000,1648820
4,3,MISS,5884.196,0.000,1513520
5,1,EXACT,990.796,25.997,1710320
6,3,MISS,5975.782,0.000,1648820
7,2,MISS,6644.239,0.000,1734920
